Quarter of Month,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)","Deepfake (Deepfake, Fake Face, Face Generation)","Deepfake Technology (GANs, Autoencoder, Diffusion Models)"
2014 Q1,19,0,17
2014 Q1,18,0,20
2014 Q1,17,61,23
2014 Q2,16,23,21
2014 Q2,17,17,23
2014 Q2,16,10,15
2014 Q3,17,43,16
2014 Q3,21,12,16
2014 Q3,16,8,25
2014 Q4,18,11,28
2014 Q4,16,12,27
2014 Q4,15,10,22
2015 Q1,20,12,21
2015 Q1,16,22,26
2015 Q1,16,13,26
2015 Q2,17,10,25
2015 Q2,39,15,25
2015 Q2,16,10,25
2015 Q3,15,10,22
2015 Q3,16,33,21
2015 Q3,13,6,28
2015 Q4,16,10,33
2015 Q4,16,8,32
2015 Q4,18,6,29
2016 Q1,17,5,30
2016 Q1,14,11,33
2016 Q1,21,10,37
2016 Q2,17,9,42
2016 Q2,16,10,40
2016 Q2,14,8,39
2016 Q3,15,8,33
2016 Q3,17,7,32
2016 Q3,14,6,41
2016 Q4,19,7,48
2016 Q4,31,7,52
2016 Q4,37,28,47
2017 Q1,28,12,43
2017 Q1,25,8,55
2017 Q1,27,7,57
2017 Q2,27,9,59
2017 Q2,23,4,61
2017 Q2,18,6,60
2017 Q3,19,7,55
2017 Q3,21,25,58
2017 Q3,20,7,62
2017 Q4,18,28,72
2017 Q4,19,11,74
2017 Q4,17,40,69
2018 Q1,18,30,68
2018 Q1,20,134,74
2018 Q1,16,35,78
2018 Q2,22,47,81
2018 Q2,32,19,79
2018 Q2,26,23,72
2018 Q3,28,19,73
2018 Q3,29,24,67
2018 Q3,47,24,76
2018 Q4,41,45,81
2018 Q4,21,43,83
2018 Q4,19,28,71
2019 Q1,20,68,69
2019 Q1,23,60,85
2019 Q1,24,24,83
2019 Q2,16,50,84
2019 Q2,17,31,84
2019 Q2,43,54,89
2019 Q3,34,93,82
2019 Q3,35,83,70
2019 Q3,52,92,79
2019 Q4,40,85,93
2019 Q4,48,89,86
2019 Q4,39,106,77
2020 Q1,45,87,74
2020 Q1,45,87,87
2020 Q1,105,68,75
2020 Q2,63,95,85
2020 Q2,60,85,85
2020 Q2,64,93,83
2020 Q3,52,70,84
2020 Q3,52,121,73
2020 Q3,49,102,79
2020 Q4,47,91,70
2020 Q4,51,87,68
2020 Q4,63,104,63
2021 Q1,48,97,57
2021 Q1,44,73,60
2021 Q1,59,138,64
2021 Q2,65,100,67
2021 Q2,51,72,68
2021 Q2,41,71,64
2021 Q3,58,106,56
2021 Q3,61,135,52
2021 Q3,49,112,60
2021 Q4,59,128,64
2021 Q4,51,110,70
2021 Q4,51,103,70
2022 Q1,72,138,84
2022 Q1,74,183,102
2022 Q1,77,149,110
2022 Q2,87,123,121
2022 Q2,78,136,120
2022 Q2,85,136,99
2022 Q3,74,136,93
2022 Q3,64,136,89
2022 Q3,64,153,118
2022 Q4,83,154,152
2022 Q4,91,160,209
2022 Q4,82,155,189
2023 Q1,96,174,182
2023 Q1,225,219,234
2023 Q1,183,196,260
2023 Q2,185,177,248
2023 Q2,172,192,244
2023 Q2,155,204,226
2023 Q3,159,219,216
2023 Q3,161,220,211
2023 Q3,156,200,199
2023 Q4,148,208,222
2023 Q4,165,280,245
2023 Q4,156,247,228
2024 Q1,199,244,234
2024 Q1,188,256,269
2024 Q1,199,246,282
2024 Q2,205,243,272
2024 Q2,199,241,269
2024 Q2,190,247,266
